ds,y
1/1/13,770
1/2/13,2111
1/2/13,2358
1/2/13,3487
1/2/13,1922
1/2/13,1903
1/2/13,2143
1/2/13,1874
1/2/13,3250
1/2/13,2940
1/2/13,1293
1/2/13,3547
1/2/13,1362
1/2/13,1102
1/2/13,2002
1/2/13,1622
1/2/13,1167
1/2/13,1580
1/2/13,1635
1/2/13,1369
1/2/13,1381
1/2/13,2605
1/2/13,1038
1/2/13,1008
1/2/13,1386
1/2/13,950
1/2/13,708
1/2/13,1401
1/2/13,776
1/2/13,1163
1/2/13,2724
1/2/13,786
1/2/13,1691
1/2/13,1987
1/2/13,1587
1/2/13,1178
1/2/13,915
1/2/13,1385
1/2/13,4821
1/2/13,4208
1/2/13,4886
1/2/13,4161
1/2/13,3397
1/2/13,2346
1/2/13,3077
1/2/13,1985
1/2/13,998
1/3/13,1833
1/3/13,2033
1/3/13,3026
1/3/13,1551
1/3/13,1740
1/3/13,1795
1/3/13,1568
1/3/13,2904
1/3/13,2396
1/3/13,1157
1/3/13,2675
1/3/13,1248
1/3/13,916
1/3/13,1823
1/3/13,1512
1/3/13,1101
1/3/13,1339
1/3/13,1484
1/3/13,1098
1/3/13,1181
1/3/13,2462
1/3/13,887
1/3/13,813
1/3/13,928
1/3/13,749
1/3/13,689
1/3/13,1126
1/3/13,727
1/3/13,1168
1/3/13,2348
1/3/13,725
1/3/13,1526
1/3/13,1746
1/3/13,1426
1/3/13,1171
1/3/13,809
1/3/13,1334
1/3/13,3618
1/3/13,3314
1/3/13,3438
1/3/13,3660
1/3/13,2887
1/3/13,1702
1/3/13,2307
1/3/13,1644
1/3/13,920
1/4/13,1863
1/4/13,2066
1/4/13,3188
1/4/13,1596
1/4/13,1642
1/4/13,1679
1/4/13,1513
1/4/13,2962
1/4/13,1975
1/4/13,970
1/4/13,2515
1/4/13,1064
1/4/13,879
1/4/13,1641
1/4/13,1318
1/4/13,977
1/4/13,1139
1/4/13,1238
1/4/13,1003
1/4/13,1257
1/4/13,2607
1/4/13,1054
1/4/13,813
1/4/13,1034
1/4/13,651
1/4/13,689
1/4/13,1246
1/4/13,680
1/4/13,948
1/4/13,2369
1/4/13,630
1/4/13,1701
1/4/13,1723
1/4/13,1285
1/4/13,1044
1/4/13,835
1/4/13,1358
1/4/13,4169
1/4/13,3630
1/4/13,3434
1/4/13,3915
1/4/13,2900
1/4/13,2016
1/4/13,2698
1/4/13,1786
1/4/13,794
1/5/13,1509
1/5/13,2062
1/5/13,3623
1/5/13,1825
1/5/13,1643
1/5/13,2154
1/5/13,1599
1/5/13,3060
1/5/13,2604
1/5/13,1269
1/5/13,3052
1/5/13,1293
1/5/13,1336
1/5/13,2052
1/5/13,1543
1/5/13,1109
1/5/13,1433
1/5/13,1323
1/5/13,1713
1/5/13,1250
1/5/13,2578
1/5/13,1355
1/5/13,1081
1/5/13,1327
1/5/13,1033
1/5/13,749
1/5/13,1317
1/5/13,890
1/5/13,1217
1/5/13,2599
1/5/13,723
1/5/13,1770
1/5/13,2214
1/5/13,1851
1/5/13,1118
1/5/13,1021
1/5/13,1205
1/5/13,4921
1/5/13,4331
1/5/13,4935
1/5/13,4764
1/5/13,4084
1/5/13,2562
1/5/13,3459
1/5/13,2068
1/5/13,949
1/6/13,520
1/6/13,1992
1/6/13,3590
1/6/13,1891
1/6/13,1754
1/6/13,2313
1/6/13,1431
1/6/13,2748
1/6/13,2635
1/6/13,1173
1/6/13,3188
1/6/13,1271
1/6/13,1008
1/6/13,1313
1/6/13,1149
1/6/13,1323
1/6/13,1383
1/6/13,1405
1/6/13,1157
1/6/13,1100
1/6/13,2061
1/6/13,716
1/6/13,1075
1/6/13,1614
1/6/13,1207
1/6/13,667
1/6/13,1468
1/6/13,772
1/6/13,1302
1/6/13,2377
1/6/13,651
1/6/13,1282
1/6/13,2522
1/6/13,1571
1/6/13,1023
1/6/13,1142
1/6/13,1194
1/6/13,4925
1/6/13,4418
1/6/13,5401
1/6/13,4935
1/6/13,4591
1/6/13,2795
1/6/13,3297
1/6/13,1934
1/6/13,1180
1/7/13,1807
1/7/13,1911
1/7/13,2996
1/7/13,1514
1/7/13,1577
1/7/13,1713
1/7/13,1705
1/7/13,2768
1/7/13,2162
1/7/13,1148
1/7/13,2361
1/7/13,1113
1/7/13,921
1/7/13,1671
1/7/13,1413
1/7/13,1066
1/7/13,1292
1/7/13,1369
1/7/13,1137
1/7/13,1185
1/7/13,2320
1/7/13,703
1/7/13,792
1/7/13,1093
1/7/13,775
1/7/13,663
1/7/13,1170
1/7/13,699
1/7/13,1078
1/7/13,2224
1/7/13,568
1/7/13,1450
1/7/13,1549
1/7/13,1356
1/7/13,1148
1/7/13,744
1/7/13,1137
1/7/13,3871
1/7/13,3339
1/7/13,3205
1/7/13,3570
1/7/13,2697
1/7/13,1719
1/7/13,2371
1/7/13,1637
1/7/13,890
1/8/13,1869
1/8/13,1856
1/8/13,2826
1/8/13,1397
1/8/13,1504
1/8/13,1555
1/8/13,1524
1/8/13,2639
1/8/13,2206
1/8/13,1100
1/8/13,2388
1/8/13,1130
1/8/13,879
1/8/13,1673
1/8/13,1330
1/8/13,1009
1/8/13,1197
1/8/13,1388
1/8/13,1013
1/8/13,1143
1/8/13,2349
1/8/13,626
1/8/13,729
1/8/13,999
1/8/13,877
1/8/13,701
1/8/13,1200
1/8/13,641
1/8/13,1164
1/8/13,2272
1/8/13,555
1/8/13,1366
1/8/13,1331
1/8/13,1417
1/8/13,1090
1/8/13,764
1/8/13,1155
1/8/13,3593
1/8/13,3102
1/8/13,3061
1/8/13,3185
1/8/13,2320
1/8/13,1609
1/8/13,2251
1/8/13,1613
1/8/13,729
1/9/13,1910
1/9/13,1975
1/9/13,2932
1/9/13,1533
1/9/13,1513
1/9/13,1702
1/9/13,1525
1/9/13,2802
1/9/13,1976
1/9/13,930
1/9/13,2230
1/9/13,1108
1/9/13,831
1/9/13,1591
1/9/13,1276
1/9/13,923
1/9/13,1110
1/9/13,1206
1/9/13,960
1/9/13,1127
1/9/13,2354
1/9/13,755
1/9/13,738
1/9/13,1033
1/9/13,645
1/9/13,627
1/9/13,1007
1/9/13,591
1/9/13,976
1/9/13,2101
1/9/13,539
1/9/13,1544
1/9/13,1525
1/9/13,1219
1/9/13,939
1/9/13,749
1/9/13,1000
1/9/13,4006
1/9/13,3268
1/9/13,2989
1/9/13,3370
1/9/13,2316
1/9/13,1776
1/9/13,2228
1/9/13,1786
1/9/13,730
1/10/13,1679
1/10/13,1761
